Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2263793,25-Mar-22,New Jersey,Trenton,1 Kingsbury Sq,1,0,N/A
2262573,24-Mar-22,Ohio,Akron,Dayton Pl and Dayton St,1,0,N/A
2261209,23-Mar-22,Tennessee,Talbott,414 English Dr,1,0,N/A
2260829,22-Mar-22,Ohio,Cleveland,4000 block of W 49th St,1,0,N/A
2259312,20-Mar-22,Louisiana,Lake Charles,1400 block of Mill St,1,0,N/A
2257091,18-Mar-22,Michigan,Pontiac,Edmund Ct and E Wilson Ave,1,1,N/A
2261059,18-Mar-22,Ohio,Euclid,Shoreview Ave,1,0,N/A
2254521,15-Mar-22,Texas,Lubbock,3600 block of Lehigh St,1,0,N/A
2254381,14-Mar-22,Tennessee,Ripley,College St and Maple Ave,1,0,N/A
2252804,13-Mar-22,Alabama,Tuscaloosa,3028 19th St,2,0,N/A
2252114,12-Mar-22,Texas,Killeen,400 block of W Vega Ln,2,1,N/A
2253591,12-Mar-22,Illinois,Springfield,700 block of W Monroe St,1,0,N/A
2251075,10-Mar-22,Tennessee,Elkton,Old Elkton Hwy,1,0,N/A
2250213,08-Mar-22,Illinois,Bloomington,1005 Four Seasons Rd,3,0,N/A
2246321,02-Mar-22,North Carolina,Lexington,516 Burgess St,3,0,N/A
2244283,01-Mar-22,Michigan,Troy,1750 Brentwood Dr,2,1,N/A
2243847,28-Feb-22,Hawaii,Waialua,67-174 Kuhi St,2,0,N/A
2243861,28-Feb-22,California,Sacramento,2041 Wyda Way,5,0,N/A
2243899,28-Feb-22,Pennsylvania,Coatesville,367 E Chestnut St,1,0,N/A
2243381,27-Feb-22,Georgia,Lithonia,3045 Panola Rd,1,0,N/A
2244017,27-Feb-22,Mississippi,Hattiesburg,Willis Ave,1,2,N/A
2241851,24-Feb-22,Georgia,Milledgeville,N/A,1,0,N/A
2241752,24-Feb-22,Texas,Granbury,306 Kathy Lane,4,0,N/A
2241007,23-Feb-22,Georgia,Atlanta,1754 Richmond Cir SE,1,0,N/A
2237994,20-Feb-22,Michigan,Detroit,15319 Evergreen Rd,3,0,N/A
2238312,20-Feb-22,Mississippi,Mccomb,Minnesota Ave and 6th St,1,3,N/A
2239050,19-Feb-22,Ohio,Lima,1300 block of W Wayne St,1,0,N/A
2237226,18-Feb-22,Texas,San Antonio,100 block of Dublin Ave,1,0,N/A
2235843,17-Feb-22,Arizona,Glendale,65th Ave and Bethany Home Rd,1,0,N/A
2234293,14-Feb-22,Texas,Houston,2900 Woodridge Dr,1,0,N/A
2232980,12-Feb-22,Ohio,Toledo,1900 block of Collingwood Blvd,1,1,N/A
2233300,12-Feb-22,Louisiana,Morgan City,2200 block of Maple St,1,0,N/A
2232093,11-Feb-22,Alabama,Montgomery,N Decatur St and Graves St,1,0,N/A
2230700,09-Feb-22,Michigan,Wyoming,2400 block of Meyer Ave SW,1,1,N/A
2229918,08-Feb-22,Florida,Hialeah (Miami Lakes),6400 block of Miami Lakes Dr,3,0,N/A
2227864,06-Feb-22,Kentucky,Lexington,572 N Upper St,2,0,N/A
2227058,05-Feb-22,Texas,Corsicana,2919 W 2nd Ave,6,2,N/A
2226920,04-Feb-22,Florida,Belle Glade,500 block of Southeast First St,1,0,N/A
2229068,04-Feb-22,Arizona,El Mirage,12950 W Laurel Ln,3,0,N/A
2226010,03-Feb-22,Georgia,Griffin,1110 W Poplar St,1,0,N/A
2226545,03-Feb-22,Texas,Houston,12212 Tidwell Rd,1,0,N/A
2224250,01-Feb-22,Georgia,Columbus,4200 block of Green Ridge Dr,1,0,N/A
2226217,01-Feb-22,Colorado,Colorado Springs,3200 block of Heather Glen Dr,2,0,N/A
2222923,29-Jan-22,Texas,Eustace,Co Rd 2911,1,0,N/A
2222806,29-Jan-22,Nevada,Las Vegas,NV-159 and Calico Canyon Rd,2,0,N/A
2222988,29-Jan-22,Louisiana,Westwego (Bridge City),900 block of Stillwell Ln,1,0,N/A
2221916,28-Jan-22,Tennessee,Goodlettsville,2844 Greer Rd,4,0,N/A
2219689,24-Jan-22,Ohio,Somerville,9290 Greenbush Rd,3,0,N/A
2218867,24-Jan-22,Georgia,Atlanta,202 Anderson Ave,1,0,N/A
2217486,22-Jan-22,Illinois,Chicago,3900 block of W 26th St,1,1,N/A
2218524,22-Jan-22,Florida,Port Saint Lucie,10460 Southwest Village Pkwy,2,0,N/A
2215351,16-Jan-22,Texas,Del Rio,400 block of San Juan St,1,0,N/A
2212218,15-Jan-22,Wisconsin,Milwaukee,1803 W Highland Ave,1,0,N/A
2210429,12-Jan-22,Florida,Land O Lakes (Land O' Lakes),22000 block of Laver Ln,3,0,N/A
2210266,12-Jan-22,Florida,Panama City (Callaway),5000 block of E Seventh St,1,0,N/A
2210478,12-Jan-22,Georgia,Atlanta,833 Harwell Rd NW,1,0,N/A
2209838,12-Jan-22,Arizona,Phoenix,19th Ave and Thunderbird Rd,1,0,N/A
2210511,12-Jan-22,Tennessee,Memphis,2115 Clayton Ave,1,0,N/A
2209185,11-Jan-22,Alabama,Bessemer (Hueytown),1400 block of 26th Ave,1,0,N/A
2207445,08-Jan-22,Georgia,Augusta,2000 block of 3rd Ave,1,0,N/A
2207308,08-Jan-22,Ohio,Brookpark (Brook Park),5354 W 150th St,2,1,N/A
2205638,06-Jan-22,Maryland,Clinton,8500 block of Wendy St,2,1,N/A
2205490,06-Jan-22,Alabama,Tuscaloosa,8700 block of Charolais Dr,3,0,N/A
2210967,05-Jan-22,Oklahoma,Lawton,8802 NW Cache Rd,2,0,N/A
2205965,05-Jan-22,Mississippi,Starkville,Santa Anita Dr,1,0,N/A
2204367,04-Jan-22,Washington,Auburn,2100 block of 66th St SE,3,0,N/A
2201052,30-Dec-21,Missouri,Kirksville,700 block of E Dodson St,3,1,N/A
2200989,29-Dec-21,Illinois,Rockford,3300 block of Searles Ave,1,0,N/A
2199601,28-Dec-21,South Carolina,Ridgeland,2359 Wagon Branch Loop,1,0,N/A
2197602,26-Dec-21,Louisiana,New Orleans,General De Gaulle Dr and Hendee St,1,0,N/A
2196844,25-Dec-21,North Carolina,Hendersonville,Spicer Cove Rd,1,0,N/A
2196475,24-Dec-21,Missouri,Independence,500 block of S Glenwood Ave,1,0,N/A
2194783,22-Dec-21,Ohio,Lithopolis,390 Westview Terr,4,0,N/A
2195175,22-Dec-21,Louisiana,Jeanerette,1400 block of Main St,1,0,N/A
2193960,20-Dec-21,Washington,Puyallup,10800 block of 58th Avenue Ct E,1,0,N/A
2193522,19-Dec-21,Illinois,Belvidere,628 Union Ave,3,0,N/A
